Author,Ulasan
@nasyithhadiyanahmad3642,"Ilove pak Prabowo mas Gibran semoga maju terus asyik² deh kmilah pedukung mu ilove,love,love you"
@lucialombok,"Semua yg dijelaskam mas gibran memang keadaan indonesia saat ini. Program&quot;nya semua harus dilakukan alau tidak gak tau dah indonesia kelak.<br>Semoga beliau menang, yg tua&quot; hanya mengandalkan ilmunya yg dulu&quot;, terlihat jelas gak ada yg paham keadaan infonesia saat ini."
@abcab6236,yg kakek&quot; minggir biar yg muda maju 😅
@EidelwinaKodea,"Dari dulu g pernah tertarik untuk nyimak Debat Cawapres, tapi debat kali ini sangat menarik. Semoga Cawapres yang akan terpilih Amanah, Rendah hati, Adil, Toleran, dan bertanggung jawab. Doa dan harapan yg terbaik untuk Merah Putih Tercinta🇲🇨❤️🙏🏻"
@user-yd1xm9ek1t,Menurut ramalan ssya imin ga akan jadi 😂😂😂😂😂
@hdmakidsplayofficial1087,"Saya sempat ragu dengan GIBRAN,,Setelah melihat debat ini…semoga debat ini membawa generasi emas muda lebih bermanuver …02 Insha Allah bisa"
@wildcs7452,Siapa pun calon nya.. yg berani usir rohinya  skrg. aq coblos..  tpi jika  salah satu tidak ada yg berani  usir rohingya..  males nyoblos..  bgus  tidur  nonton youtube ..😂😂😂
@chandrasaputra8710,tanya orang tua kamu apa yg dijanjikan k rakyat dijalankan tdk nyata2 hukum dilanggar. koreksi dulu pak lurah baru bcr.
@ahmadfaishol9957,Mantap mas gibran ❤
@cinokinuya9301,"Jangan ajari anak muda2 kredit pak ,ajarkan mereka berwirausaha  ,,agar bisa berdiri dengan kaki sendiri mandiri"
@dstchanel9692,Masih mending mempertimbangkan antara 02 dan 03..01 kliatan banyak omng doang.slepet
@cinokinuya9301,"Maaf nggeh skip A&amp;A ,,,,ini pendapat saya ,,galao 2 or 3"
@user-jy8dy9rh6n,Pragib selalu pilihan rakyat
@ardyansyah137,Prabowo Gibran is the best sungguh sangat bijak menanggapi segala pertanyaan
@user-jy8dy9rh6n,Mantap bapak KPU yg berwibawa santun👍👍
@MohSyafi-or9he,O1 amin muantap
@taufiqalhasan6576,Bansos itu bukan ide bagus buat rakyat.tapi kalau lapangan kerja diperbanyak itu lebih baik dan mendidik yakyat indonesia
@levianard7268,ALL IN PRABOWO - GIBRAN ✌️✌️✌️✌️✌️
@birinkomeng4304,Cak imin mlepok... <br>Dana milyaran duit ko ndi😂😂😂😂
@djuwadidjuwadi4080,Pak Pranowo boleh kalah tapi Mas Gibran pasti menang
@haricahyono3886,Muhaimin memakai kopyah hanya berkedok agama....org seperti ini msh memikirkan duniawi dan perutnya sendiri.......coba liat berita sekarang sudah ketangkap KPK kasus kematian rupsi
@r.achannel3535,tetep pilih sasuke sama boruto ...😅😅😅
@user-rt8rg2vq4c,Gibran maju untuk anak muda.. Kami mendukung<br>. 💪✌👍🙏
@Qriwilchannel-sq8xy,mana suara pendukung anis. ko sepi  😂😂😂😂
@user-mz5rs8yt8w,Prabowo gibran yessss
